longitude,latitude,alt,temp,prec,hum,dist_aqua
31.06666667,-15.43333333,627.171875,30.49059105,80.15833282,65.0083313,27.71800041
31.06666667,-15.36666667,680.21875,29.9734211,80.15833282,65.0083313,34.72900009
31.06666667,-15.3,746.390625,29.6835022,85.71666718,64.94166565,41.0909996
31.06666667,-15.23333333,839.828125,28.91992188,85.71666718,64.94166565,42.85200119
31.06666667,-15.16666667,858.453125,29.05784607,85.71666718,64.94166565,45.76399994
31.06666667,-15.1,943.15625,28.67469597,90.05833435,64.8833313,49.6230011
31.06666667,-15.03333333,987.71875,28.21587753,90.05833435,64.8833313,54.22900009
31.06666667,-14.96666667,973.796875,28.39346886,89.73332977,64.60832977,47.89799881
31.06666667,-14.9,947.421875,28.75998497,89.73332977,64.60832977,40.54999924
31.06666667,-14.83333333,977.75,28.54391098,89.73332977,64.60832977,33.23600006
31.06666667,-14.76666667,1013.09375,28.21509361,88.89167023,64.40000153,25.9810009
31.06666667,-14.7,1020.642857,28.87044716,88.89167023,64.40000153,22.27400017
31.13333333,-15.96666667,337.2830189,31.72159958,71.43333435,65.48332977,2.253000021
31.13333333,-15.9,329.59375,31.17847824,71.43333435,65.48332977,0
31.13333333,-15.83333333,329.265625,30.95541763,71.43333435,65.48332977,0
31.13333333,-15.76666667,344.125,30.55029678,70.64167023,65.1333313,0.994000018
31.13333333,-15.7,331.1875,31.41592789,70.64167023,65.1333313,0
31.13333333,-15.63333333,410.328125,31.53181267,74.19999695,65.03333282,6.59800005
31.13333333,-15.56666667,412.21875,31.71291542,74.19999695,65.03333282,12.2329998
31.13333333,-15.5,515.65625,31.2524662,74.19999695,65.03333282,19.02000046
31.13333333,-15.43333333,671.59375,29.75556946,80.15833282,65.0083313,26.04700089
31.13333333,-15.36666667,719.484375,29.59900475,80.15833282,65.0083313,32.72399902
31.13333333,-15.3,769.03125,29.60455704,85.71666718,64.94166565,34.03300095
31.13333333,-15.23333333,825.84375,29.18288612,85.71666718,64.94166565,36.13700104
31.13333333,-15.16666667,888.578125,28.96522331,85.71666718,64.94166565,39.54399872
31.13333333,-15.1,930.03125,28.68756294,90.05833435,64.8833313,43.95100021
31.13333333,-15.03333333,928.734375,28.85590363,90.05833435,64.8833313,49.09000015
31.13333333,-14.96666667,912.9375,28.99757385,89.73332977,64.60832977,49.3409996
31.13333333,-14.9,925.828125,28.69324684,89.73332977,64.60832977,42.24599838
31.13333333,-14.83333333,971.375,28.49558449,89.73332977,64.60832977,35.28499985
31.13333333,-14.76666667,1024.125,28.22525787,88.89167023,64.40000153,28.55699921
31.13333333,-14.7,1057.121212,28.17851067,88.89167023,64.40000153,22.27400017
31.2,-16.03333333,340.75,31.91177559,72.01667023,65.67500305,8.024999619
31.2,-15.96666667,377.1451613,31.59624481,71.45833588,65.33333588,8.024999619
31.2,-15.9,356.359375,31.43251801,71.45833588,65.33333588,4.75
31.2,-15.83333333,325.109375,30.87232018,71.45833588,65.33333588,0.089000002
31.2,-15.76666667,325.15625,30.64192581,70.69999695,64.95833588,0
31.2,-15.7,323.1875,31.23134041,70.69999695,64.95833588,0
31.2,-15.63333333,350.171875,31.85245895,73.81666565,64.81666565,2.782999992
31.2,-15.56666667,408.375,31.72336578,73.81666565,64.81666565,10.15100002
31.2,-15.5,563.890625,31.11448479,73.81666565,64.81666565,16.79000092
31.2,-15.43333333,696.71875,29.59039307,82.73332977,65.02500153,22.50499916
31.2,-15.36666667,739.328125,29.58696365,82.73332977,65.02500153,26.3220005
